id_director;name_;bio_es;bio_en;published;filepic1;created_ts;updated_ts
1;Emad Burnat;"Nacido en Palestina, trabaja como camarógrafo y fotógrafo freelance para la agencia de noticias Reuters y canales de TV como los israelíes 1, 2 y 10, Al-Jazeera y Palestinian Television.
";"Born in Palestine, he works as a cameraman and freelance photographer for Reuters and several TV networks, including Israeli ones 1, 2 and 10, Al-Jazeera and Palestinian Television.
";1;emad_burnat_1.jpg;2013-03-12 13:51:44;2013-03-12 13:51:44
2;Guy Davidi ;"Nacido en Jaffa, Israel, es profesor de cine. Dirigió cortos documentales como In Working Progress (2006), A Gift From Heaven y Woman Defying Barriers (ambos de 2009), y el largo Interrupted Streams (2010).
";"Born in Jaffa, Israel, he’s a film professor. He directed several documentary short films, including In Working Progress (2006), A Gift From Heaven and Woman Defying Barriers (both in 2009), as well as the feature-length film Interrupted Streams (2010).
";1;guy_davidi_1.jpg;2013-03-12 13:53:19;2013-03-15 21:12:29
3;Paola Castillo ;"Nació en Concepción, Chile, en 1969. Egresada de la EICTV cubana. Dirigió los documentales Niños del paraíso (2000) y La última huella (2002), y produjo El salvavidas (M. Alberdi; Bafici ‘12).
";"She was born in Concepcion, Chile, in 1969. Graduated from the Cuban EICTV. She directed the documentaries Niños del paraíso (2000) and La última huella (2002), and produced El salvavidas (M. Alberdi; Bafici ‘12).
";1;paola_castillo_1.jpg;2013-03-12 13:54:25;2013-03-12 13:54:25
4;Tiziana Panizza ;"Nacida en Santiago de Chile en 1972, es magíster en Arte y Medios de la Universidad de Westminster, estudia cine documental en la EICTV, y es docente en la Universidad de Chile. Dirigió la trilogía de cortos Cartas visuales (2005-13) y el documental Tierra sola.
";"Born in Santiago, Chile, in 1972, she has an M.A. in Art and Media from the University of Westminster, studies documentary TV at the EICTV, and is a professor at the University of Chile. She directed the trilogy of short films Cartas visuales (2005-13) and the documentary Tierra sola.
";1;tiziana_panizza_1.jpg;2013-03-12 13:55:37;2013-03-12 13:55:37
5;Adolfo Aristarain;"La parte del león –deslumbrante en su negrura en el momento de su estreno y también ahora– es la ópera prima de Adolfo Aristarain y es de 1978. Es decir, ya tiene 35 años. En tres décadas y media, Aristarain estrenó en Argentina diez largometrajes. Hizo uno más en Estados Unidos, el aquí inédito Deadly / The Stranger, y dirigió para la televisión española la serie Pepe Carvalho. Solamente diez (bah, once) largometrajes en 35 años de carrera de uno de los grandes directores argentinos. Y, para peor, desde 2004 –desde la enorme Roma–, nada. Ya son casi diez años de ausencia. Esta retrospectiva en el Bafici es la celebración de una filmografía notable, con la posibilidad extraordinaria de ver las diez películas de Aristarain en el cine, ahora, en 2013, todas en 35mm y varias de ellas en copias nuevas. Sí, flamantes. De cada película en particular se encargan los textos que siguen en estas páginas, todos del momento de su respectivo estreno. Pero, como decía Godard, cuando se tienen ganas de decir algo, lo mejor es decirlo. Ahí vamos: al leer las críticas de la época de La playa del amor y La discoteca del amor es muy reconfortante encontrarse con elogios para un director que luego de una ópera prima personal debía hacer dos films por encargo y con la obligación de poner canciones, según estaba establecido en el acuerdo entre la productora y la distribuidora. Antes de que llegara Aristarain habían existido en esa serie Los éxitos del amor y La carpa del amor. Aristarain logró no sólo no caer en el piloto automático desdeñoso tan habitual en el “cine comercial argentino”, sino además generar momentos memorables. Bueno, dejemos de lado la condescendencia de la mal entendida seriedad; seamos precisos, seamos exactos: no hay en el cine argentino tantos policiales así de buenos como La discoteca del amor. Es más, si uno tiene en cuenta algunos títulos de la lista de canciones de esa película se dará cuenta de los milagros cinematográficos que opera Aristarain, que hasta tiñe de western un enfrentamiento entre los malos y los buenos, entre otras maravillas. Son solo diez largos, pero de esos perdurables, de los que queremos volver a ver, de esos que merecen un lugar en el cine.
";"Dazzling in its obscurity at the time its opening –and also now– The Lion’s Share is Adolfo Aristarain’s debut film from 1978. That means it’s already 35 years-old. In three and a half decades Aristarain released ten feature-length films here. He made one more in the US, the locally unreleased Deadly! The Stranger, and directed the series Pepe Carvalho for the Spanish television. So, only ten (well, eleven) films in the 35 year-long career of one of the greatest directors of Argentina. And to make it even worse, since 2004 –after the huge Roma– there’s nothing. It’s almost ten years of absence now. This Bafici retrospective is the celebration of a noble filmography, featuring an extraordinary chance to see those ten films by Aristarain in a theater now, in 2013, in 35mm –and many of them in new prints. Yes, brand new. The texts that follow these pages address each film. They are all from the moment of the films’ premieres. But, as Godard used to say, when you feel like saying something, the best thing is to do so. So, there we go: when reading the reviews from the time of The Beach of Love and The Disco of Love, it’s very comforting to find praises for a director who after a very personal first film made two commissioned films with the obligation of including songs –that was the arrangement between the production company and the distributor. Before Aristarain came, that series had included The Hits of Love, and The Tent of Love. Aristarain not only managed to not fall into the dreadful automatic pilot that is so common in “Argentine commercial cinema”, but he also created memorable moments. Well, let’s leave aside the condescendence of so-called seriousness and be precise: there aren’t many crime stories as good as The Disco of Love in Argentine cinema. In fact, if you consider some of the titles of the songs in this film, you will notice the film miracles Aristarain accomplished, as he even turns into a western a clash between some good guys and bad guys, among other wonders. There’s only ten feature-length films, but they’re the kind that endures, the kind we want to see again, the kind that deserves a place in cinema. 
";1;adolfo_aristarain_1.jpg;2013-03-12 13:57:18;2013-03-12 13:57:45
7;Joshua Oppenheimer ;"Nacido en Texas, EEUU, en 1974, estudió cine en Harvard y en Londres. Trabaja como investigador para el proyecto Genocidio y género del AHRC británico, y ha dirigido los documentales The Entire History of the Louisiana Purchase (1998) y The Globalization Tapes (2003; con Christine Cynn).
";"Born in Texas, USA, in 1974, he studied at Harvard and London. He works as a researcher for the project Genocide and gender of the British AHRC, and directed the documentaries The Entire History of the Louisiana Purchase (1998) and The Globalization Tapes (2003; with Christine Cynn).
";1;joshua_oppenheimer_1.jpg;2013-03-12 13:59:11;2013-03-12 13:59:11
8;Pablo Larraín;"Nació en Santiago de Chile en 1976. Es uno de los socios fundadores de la productora de cine, TV y publicidad Fabula. Dirigió los largometrajes Fuga (2005), Tony Manero (2008; Bafici ‘09) y Post Mortem (2010; Bafici ‘11), además de la primera serie de HBO producida en Chile, Prófugos (2010).";"He was born in Santiago, Chile, in 1976. He’s one of the founding partners of the film, TV and ad production company Fabula. He directed the films Fuga (2005), Tony Manero (2008; Bafici ‘09) and Post Mortem (2010; Bafici ‘11), as well as HBO’s first series produced in Chile, Prófugos (2010).";1;pablo_larrain_1.jpg;2013-03-12 13:59:58;2013-03-23 01:45:28
9;Siobhan Davies ;"Nacida en Londres, Inglaterra, en 1950, fue bailarina y luego una de las coreógrafas principales del London Contemporary Dance Theatre, antes de establecer su propia compañía, Siobhan Davies Dance, en 1988.
";"Born in London, England, in 1950, she was a dancer and later one of the main choreographers at the London Contemporary Dance Theatre, before establishing her own company, Siobhan Davies Dance, in 1988.
";1;siobhan_davies_1.jpg;2013-03-12 14:00:37;2013-03-12 14:00:37
10;Agnès Jaoui;Nacida en Antony, Francia, en 1964, además de cineasta es cantante y actriz. Editó los álbumes Canta (2006) y Dans mon pays (2009), y dirigió los largometrajes El gusto de los otros (2000), Como una imagen (2004) y Háblame de la lluvia (2008). A lo largo de su carrera, ganó seis premios César.;Born in Antony, France, in 1964, she’s a singer and actress as well as a filmmaker. She released the albums Canta (2006) and Dans mon pays (2009), and directed The Taste of Others (2000), Look at Me (2004) and Let It Rain (2008). Throughout her career, she won six Caesar Awards.;1;agnes_jaoui_1.jpg;2013-03-12 14:02:15;2013-03-25 14:10:19
11;David Hinton ;"Reconocido director de documentales para la televisión británica, ha realizado dos premiadas adaptaciones fílmicas de obras de danza: Dead Dreams of Monochrome Men (1989) y Strange Fish (1993).
";"A renowned documentary director for British television, he directed awarded film adaptations of two dance pieces: Dead Dreams of Monochrome Men (1989) and Strange Fish (1993).
";1;david_hinton_1.jpg;2013-03-12 14:02:32;2013-03-12 14:02:32
