id_film,id_section,id_section2,id_section3,title,title_es,title_en,title_orig,id_country1,id_country2,id_country3,id_country4,year_,plot,synopsis_es,synopsis_en,tagline,duration,color,id_filmcolor,id_filmformat,director,id_director1,id_director2,id_director3,id_director4,id_director5,id_director6,id_director7,id_director8,id_director9,id_director10,id_director11,id_director12,id_director13,id_director14,id_genres_list,cast_,prodteam,published,contact_title,contact_person,contact_address1,contact_address2,contact_zipcode,contact_city,contact_state,contact_id_country,contact_email1,contact_email2,contact_website,contact_phone1,contact_phone2,contact_fax,contact_info,id_youtube,url_ticket,filepic1,filepic2,filepic3,filepic4,filepic5,filepic_logo,created_ts,updated_ts,id_event1,id_event2,id_event3,id_event4,duration_sec,tags,id_country5,id_country6,id_country7,id_country8
408,0,NULL,NULL,Película sorpresa,,,,0,0,0,0,0,NULL,,,NULL,,NULL,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=.bafici20130342,NULL,NULL,NULL,NULL,NULL,NULL,27/03/2013 16:11,27/03/2013 16:14,0,0,0,0,,NULL,0,0,0,0
416,0,NULL,NULL,cortos Lux,,,,0,0,0,0,0,NULL,,,NULL,,NULL,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,, https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=.bafici20130017,NULL,NULL,NULL,NULL,NULL,NULL,03/04/2013 21:17,03/04/2013 21:18,0,0,0,0,,NULL,0,0,0,0
8,90,NULL,NULL,La ley de la frontera,,Border Law,,13,73,0,0,117,NULL,"(...) Una y otra vez, Aristarain ha repetido que para él no existe una película por encargo, en la medida en que se la pueda hacer propia. Eso es precisamente lo que ha conseguido con La ley de la frontera, un proyecto que le fue ofrecido de buenas a primeras, sobre un guion del autor gallego Miguel Murado, que Aristarain pudo reescribir y dirigir a su medida. La acción –y el término aquí es bien apropiado– tiene lugar en 1924, en la frontera entre Galicia y Portugal, una tierra bella y virgen, donde la ley y el orden todavía no han logrado imponerse, como en los westerns. En esas comarcas se encuentran Joao y Xan; uno es un vivillo portugués de buena familia, deseoso de vivir aventuras, que huye del seminario al que había sido confinado por sus padres; otro es un pobre gallego harto de picar piedras en las canteras, que se alista como legionario sólo para volver a escapar, con rumbo incierto. Ambos son fugitivos, uno del convento, otro de la milicia. En el camino tropiezan con una periodista, empeñada en conocer al más legendario bandido de la región, un ácrata apodado “El argentino” y que no es otro que Federico Luppi, el actor que desde Tiempo de revancha viene funcionando como una suerte de álter ego del propio Aristarain. Luciano Monteagudo (“Un romántico anarquismo” en Página/12, 24/8/1995)","(…) Aristarain has said over and over that for him there is no such thing as a commissioned film, because one can always appropriate it. That’s precisely what he accomplished with Border Law, a project that was offered to him out of the blue, with a script by Galician author Miguel Murado which Aristarain was allowed to rewrite and direct freely. The action –and the term here is appropriate– takes place in 1924, in the border between Galicia and Portugal, a beautiful and virgin land where law and order still haven’t managed to settle in, just like in a western. And then there’s Joao and Xan: one is a Portuguese scoundrel from a good family who is eager to have adventures; the other one is a poor Galician who is tired of smashing rocks at the quarries and enlists as a legionnaire only to escape again with no destination. They’re both fugitives, one from the convent and one from the military. On their way, they come across a female journalist who is determined to meet the most legendary bandit in the region, an anarchist known as The Argentine, played by none other than Federico Luppi, the actor who has been functioning as a sort of alter ego of Aristarain since Revenge Time. LM (“A romantic anarchism” in Página/12, 8/24/1995)",NULL,117,NULL,1,2,NULL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Pere Ponce, Achero Mañas, Aitana Sánchez Gijón, Federico Luppi, Fernando Valverde","D, G: Adolfo Aristarain     
F: Porfirio Enríquez
E: Juan Aledo
DA: Abel Facello
M: Luis Mendo, Bernardo Fúster
CP: C.P.A., Shazam
",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=.bafici20130219,la_ley_de_la_frontera_1.jpg,NULL,NULL,NULL,NULL,NULL,12/03/2013 15:12,27/03/2013 15:35,0,0,0,0,,NULL,0,0,0,0
387,19,NULL,NULL,Corrientes bifronte ,,,,13,0,0,0,1958,NULL,,,NULL,14,NULL,2,1,NULL,349,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL,NULL,NULL,NULL,14/03/2013 17:09,27/03/2013 22:55,0,0,0,0,,NULL,0,0,0,0
377,19,NULL,NULL,The Silent Star,La estrella silenciosa,,Der schweigende Stern,4,0,0,0,1959,NULL,"Primera película de ciencia ficción producida en Alemania del Este, The Silent Star (alterada dramáticamente por Roger Corman para su estreno en EEUU con el título First Spaceship on Venus) está basada en la novela de Stanislaw Lem Los astronautas. Una expedición internacional es enviada a Venus en 1970 para develar el misterio de un rollo de material desconocido, descubierto en el desierto de Gobi en 1908. Un miembro del equipo descifra un mensaje en el rollo y descubre que es una declaración de guerra contra la Tierra.","The first sci-fi film made in East Germany, The Silent Star (although dramatically altered by Roger Corman for its US release, under the title First Spaceship on Venus) is based on Stanislaw Lem’s science fiction novel, The Astronauts. An international expedition is sent to Venus in 1970 to uncover the mystery of a reel of unknown material found in the Gobi desert in 1908. A member of the crew deciphers a message on the reel and discovers it is a declaration of war on the Earth. ",NULL,94,NULL,1,2,NULL,238,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Yoko Tani, Oldrich Lukes, Ignacy Machowski, Julius Ongewe, Michail N. Postnikow","G: J. Fethke, W. Kohlhaase, G. Reisch, 
G. Rücker, K. Maetzig, A. Stenbock-Fermor
F: Joachim Hasler 
E: Lena Neumann
DA: Alfred Hirschmeier
S: Kurt Eppers, Werner Klein, Günter Witt
M: Andrzej Markowski 
CP: DEFA, Film Polski
",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,oElDXLwdqkI,https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=.bafici20130424,the_silent_star_1.jpg,NULL,NULL,NULL,NULL,NULL,14/03/2013 16:33,27/03/2013 16:41,0,0,0,0,,NULL,0,0,0,0
390,19,NULL,NULL,Neón ,,,,13,0,0,0,1960,NULL,,,NULL,4,NULL,1,1,NULL,352,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL,NULL,NULL,NULL,14/03/2013 17:11,27/03/2013 22:55,0,0,0,0,,NULL,0,0,0,0
87,75,NULL,NULL,Jean Vigo,,,,82,0,0,0,1964,NULL,"Un retrato en conmemoración de Jean Vigo, el padrino de todos los cineastas independientes, que consiste en fragmentos y relatos en primera persona de aquellos que trabajaron con el realizador, permitiendo una nueva reflexión sobre las películas y la personalidad del responsable de L’Atalante. Entre quienes aportan anécdotas y recuerdos sobre Vigo están Michel Simon, Dita Parlo, Jean Dasté, y su hija Luce.","A portrait in memory of the grandfather of all independent filmmakers, Jean Vigo, this film consists of excerpts and eye-witness accounts of those who worked closely with the director, enabling a new insight into the films and personality of the man who made L’Atalante. Among those offering stories and observations on Vigo are Michel Simon, Dita Parlo, Jean Dasté, and his daughter Luce.",NULL,95,NULL,2,4,NULL,63,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Michel Simon, Albert Riera, Dita Parlo, Jean Painlevé, André Négis",,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=.bafici20130195,jean_vigo_1.jpg,NULL,NULL,NULL,NULL,NULL,12/03/2013 18:54,27/03/2013 15:30,0,0,0,0,,NULL,0,0,0,0
389,19,NULL,NULL,5 aspectos 5  ,,,,13,0,0,0,1964,NULL,,,NULL,10,NULL,1,7,NULL,351,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL,NULL,NULL,NULL,14/03/2013 17:11,27/03/2013 22:56,0,0,0,0,,NULL,0,0,0,0
380,19,NULL,NULL,La casa del sol naciente,House of Bamboo ,,,75,0,0,0,1965,NULL,"El sangriento robo a un tren lleva al investigador Robert Stack tras los pasos de una banda de gángsters liderada por Robert Ryan, un americano que trabaja en Japón. Con una historia por momentos incompleta, no se trata de la película más densamente construida del maestro del art brut; aunque es una muestra de lo que se verá en sus obras posteriores (la organización de Ryan, con su excepcional sentido de la lealtad y fidelidad, brinda la primera imagen de los gángsters americanos y europeos como “samurais zen”, una herencia que llegará hasta El samurai y Ghost Dog), sobre todo en la magistral utilización, casi sin precedentes, de la pantalla ancha. Fuller construyó una puesta en escena austera basada en la arquitectura japonesa, con composiciones simétricas que se quiebran cada vez que irrumpe la violencia, generando una dinámica abrumadora: el impacto de la primera aparición de Ryan, una entrada explosiva por detrás de una pared rota, no se parece a casi ninguna otra escena del cine moderno. Christoph Huber","A blood-spilled train robbery leads investigator Robert Stack to follow the steps of a gangster band led by Robert Ryan, an American working in Japan. With a story that at times seems incomplete, this is not the most densely constructed film by the master of art brut, but it is a sample of what we’ll see in his later work (Ryan’s outfit, with its exceptional sense of loyalty and fidelity provides the first image of American and European gangsters as “zen samurais”, a legacy that would later extend to The Samurai and Ghost Dog), especially in his masterful and almost unprecedented use of the widescreen format. Fuller built an austere setting based on Japanese architecture, with symmetrical compositions that break every time violent bursts in, creating an overwhelming dynamics: the impact of Ryan’s first appearance, an explosive entrance through a broken wall, is unlike any other scene in modern cinema. CH
",NULL,102,NULL,1,8,NULL,241,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Robert Ryan, Robert Stack, Shirley Yamaguchi, Cameron Mitchell, Brad Dexter","G: Harry Kleiner, Samuel Fuller
F: Joe MacDonald 
E: James B. Clark
DA: Addison Hehr, Lyle R. Wheeler
S: Harry M. Leonard, John D. Stack
M: Leigh Harline 
P: Buddy Adler
CP: Twentieth Century Fox Film Corporation
",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,1QPOL9EBuVw,https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=.bafici20130213,la_casa_del_sol_naciente_1.jpg,NULL,NULL,NULL,NULL,NULL,14/03/2013 16:42,27/03/2013 15:33,0,0,0,0,,NULL,0,0,0,0
89,75,NULL,NULL,Jean Renoir le patron:  La règle et l’exception,"Jean Renoir, el jefe: La regla y la excepción","Jean Renoir, the Boss: The Rule and the Exception",,82,0,0,0,1967,NULL,"En junio de 1966, el equipo de Cinéastes de notre temps realizaba la que terminaría siendo una de las gemas de la colección: tres films inusualmente largos agrupados bajo el título Jean Renoir, le patron. Fueron realizados por Jacques Rivette y editados por Jean Eustache, dos cineastas que, más que nadie, realmente pensaban que Renoir era “el jefe”. La règle et l’exception es una sesión especial en la que Jean Renoir comenta las secuencias y analiza los personajes de La regla del juego y La Marsellesa para una clase de cine.","In June 1966, the team of Cinéastes de notre temps was making what turned out to be one of the gems of its collection: three unusually long films grouped together under the title Jean Renoir, le patron. They were made by Jacques Rivette and edited by Jean Eustache, two filmmakers who, more than anyone else, truly considered Jean Renoir to be the boss. La règle et l’exception is a special session in which Jean Renoir comments on the sequences and analyses the characters of La Règle du jeu and La Marseillaise for a film masterclass. ",NULL,95,NULL,2,4,NULL,64,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Jean Renoir, Charles Blavette, Pierre Braunberger, Marcel Dalio, Pierre Gaut
",,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=.bafici20130194,jean_renoir_le_patron__la_regle_et_lrexception_1.jpg,NULL,NULL,NULL,NULL,NULL,12/03/2013 18:56,27/03/2013 15:29,0,0,0,0,,NULL,0,0,0,0
