id_film,id_section,id_section2,id_section3,title,title_es,title_en,title_orig,id_country1,id_country2,id_country3,id_country4,year_,plot,synopsis_es,synopsis_en,tagline,duration,color,id_filmcolor,id_filmformat,director,id_director1,id_director2,id_director3,id_director4,id_director5,id_director6,id_director7,id_director8,id_director9,id_director10,id_director11,id_director12,id_director13,id_director14,id_genres_list,cast_,prodteam,published,contact_title,contact_person,contact_address1,contact_address2,contact_zipcode,contact_city,contact_state,contact_id_country,contact_email1,contact_email2,contact_website,contact_phone1,contact_phone2,contact_fax,contact_info,id_youtube,url_ticket,filepic1,filepic2,filepic3,filepic4,filepic5,filepic_logo,created_ts,updated_ts,id_event1,id_event2,id_event3,id_event4,duration_sec,tags,id_country5,id_country6,id_country7,id_country8
1,54,NULL,NULL,No,,,,46,75,0,0,2012,NULL,"En plena dictadura chilena, un creativo publicitario consiguió que la campaña para enfrentar a Augusto Pinochet tuviese como puntales a la palabra “No” recortada contra un arcoíris y a un jingle cuyo estribillo repetía a modo de mantra: “Chile/ la alegría ya viene”. Esta es su historia… Si la reseña de la revista del cable terminara allí, la nueva película de Pablo Larraín (Tony Manero) ya merecería ser vista. Pero sucede que No cuenta, además, la estupidez prepotente de la derecha y la estupidez pedante de la izquierda, retrata a ese matrimonio de dogmáticos sin imaginación de un modo ejemplar, y pone en primer plano la idea de que la alegría puede ser, en determinadas circunstancias, la única vanguardia posible. Con una actuación extraordinaria de Gael García Bernal, con la participación de muchos de los personajes que hicieron posible que en aquel plebiscito de 1988 el “No” a Pinochet empezara a derrumbar la dictadura, con su imagen U-matic y su dulce, vital tristeza a cuestas, No es la gran obra maestra modesta de esta época. Marcelo Panozzo
","During the Chilean dictatorship, a copywriter managed to base the campaign that challenged Augusto Pinochet on the word “No” set against a rainbow backdrop, together with a jingle that repeated like a mantra: “Chile/the joy is coming”. This is his story… If this cable magazine review was to end there, that already would be enough reason to see the latest film by Pablo Larraín (Tony Manero). But as it happens, No also depicts the arrogant stupidity of the right wing and the pedantic stupidity of the left, drawing an exemplary portrait of that marriage of unimaginative dogmas, and focusing on the idea that joy can be, in some circumstances, the only possible vanguard. With an extraordinary performance by actor Gael García Bernal, the participation of many of the people who made it possible for the “No” to Pinochet to start tearing the dictatorship down in that 1988 plebiscite, an U-matic image, and the sweet, vital sadness it carries, No is the great modest masterpiece of this time. MP",NULL,117,NULL,1,8,NULL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Gael García Bernal, Alfredo Castro, Antonia Zegerz, Luis Gnecco, Marcial Tagle","D: Pablo Larraín  
G: Pedro Peirano
F: Sergio Armstrong  
DA: Estefanía Larraín
S: Miguel Hormazábal  
P: Juan de Dios Larraín, Daniel Dreifuss 
PE: Jeff Skoll, Jonathan King",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Funny Balloons - Louis Balsan - 4 bis rue Saint Sauveur - 75002 Paris, France
T +33 1 4013 0586 / E sales@funny-balloons.com / W www.funny-balloons.com",0PKKKJCMyKY,,513f4167271b2_1.jpg,NULL,NULL,NULL,NULL,,12/03/2013 14:51,29/03/2013 17:58,0,0,0,0,,NULL,0,0,0,0
2,90,NULL,NULL,La parte del león ,,The Lion’s Share,,13,0,0,0,1978,NULL,"(...) La historia muestra, paralelamente, la planificación y la ejecución de un asalto, y la vida cotidiana de un oscuro empleado que acaba de separarse de su mujer. Acorralados por la policía, los ladrones ocultan el botín en el tanque de agua del hotel en donde vive el empleado. Éste logra apoderarse del dinero (una cifra increíble aún para la inflación de nuestro dinero), pero la numeración de los billetes se da a conocer. Sólo queda, para este personaje, intentar conectarse con “los que están en la cosa” para cambiar los billetes por una cantidad menor. Los asaltantes, mientras tanto, han logrado individualizar al hombre y se lanzan a  perseguirlo. (...) Toda la acción ha sido matemáticamente calculada por Aristarain, llevando la narración por un clima de suspenso angustiante que jamás se vio en el cine nacional, apoyándose para ello en un montaje notable, cuyas reglas el autor conoce al dedillo. (...) No es exagerado afirmar que desde este momento, la historia del cine nacional podrá dividirse en antes y después de La parte del león, un film que junto a Invasión de Hugo Santiago y la obra de Leonardo Favio se encuentra entre lo más sólido que ha dado nuestro cine. Ángel Faretta (“Sobresaliente film nacional” en Convicción, 5/10/1978)","(…) The story shows, in parallel, the planning and execution of a robbery and the everyday life of a gloomy working man who has just divorced his wife. Cornered by the police, the thieves hide the loot in the water tank of the hotel where the man lives. He takes away the money (an incredible amount even considering our inflation), but the serial numbers in the bills are made public. So, for this character, the only option is to get in touch with “people who know about these things” in order to trade the bills for a smaller amount of money. The robbers, in the meantime, have managed to identify him, and start to chase him. (…) All the action has been mathematically calculated by Aristarain, who brings the story up to an atmosphere of distressing suspense unseen before in Argentine cinema, using for it some remarkable editing, a work with rules the author knows by heart. (…) It’s not exaggerated to state that from this moment on, the history of Argentine cinema will be divided into before and after The Lion’s Share, a film that, together with Hugo Santiago’s Invasión and the work of Leonardo Favio, is among the most solid works of our cinema. AF (“Outstanding local film” in Convicción, 10/5/1978)",NULL,85,NULL,1,2,NULL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Julio de Grazia, Ulises Dumont, Arturo Maly, Julio Chaves, Luisina Brando","G: Adolfo Aristarain 
F: Horacio Maira
E: Miguel Pérez 
DA: Kathy Saavedra
S: Jorge Stavropulos 
M: Aníbal Guart, Jorge Navarro 
P: Jorge Cuomo
PE: Héctor Noli 
",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=.bafici20130226,la_parte_del_leon_1.jpg,NULL,NULL,NULL,NULL,51434070c8eee_logo.jpg,12/03/2013 14:54,27/03/2013 15:36,0,0,0,0,,NULL,0,0,0,0
3,90,NULL,NULL,La playa del amor,,The Beach of Love,,13,0,0,0,1979,NULL,"(…) Cacho (Castaña) está preocupado porque su hermano menor (Ricardo Darín), quiere casarse. Con la intención de hacerlo cambiar de idea lo lleva con Antonio (Carlos del Burgo) a una playa, para que conozca a otras chicas y olvide a su novia. Durante su forzada permanencia cerca del mar, Ricardo comprenderá que aún es demasiado joven para casarse y se divertirá con distintas muchachas. Por su parte, Cacho y Antonio encontrarán en Andrea (Mónica Gonzaga) y Rosita (Stella Maris Lanzani) a quienes les harán cambiar de idea con respecto al matrimonio. Por otra parte, los diez playbacks impuestos con distintos cantantes no resultan forzados, se integran a la trama en forma coherente, ya sean las proyecciones filmadas en España con Camilo Sesto y Rocío Durcal; las actuaciones de Judy Cheeks y Angela Carrasco; el sueño de Cacho Castaña (muy bien realizado y con gran despliegue): la intervención de Katunga –en una secuencia que ironiza aquella recordable Escuela de sirenas, o las distintas escenas de la playa. (…) Jorge Abel Martin (La Opinión, 21/2/1980)","(…) Cacho (Castaña) is worried because his younger brother (Ricardo Darín) wants to get married. Trying to change his mind, he takes him along with Antonio (Carlos del Burgo) to a beach, so he will meet other women and forget about his girlfriend. During his forced stay by the ocean, Ricardo will realize he’s still too young to get married and will have fun with several girls. Also, Cacho and Antonio will meet Andrea (Mónica Gonzaga) and Rosita (Stella Maris Lanzani), who will make change their own minds about marriage. On the other side, the ten playback scenes featuring different singers are not forced into the plot, but rather integrate with it coherently, either the scenes shot in Spain with Camilo Sesto and Rocío Durcal, the performances by Judy Cheeks and Angela Carrasco, Cacho Castaña’s dream (very well shot and with high production value), Katunga’s intervention –in a sequence that laughs about that old scene from Bathing Beauty–, or the different beach scenes. (…) JAM (La Opinión, 2/21/1980)",NULL,86,NULL,1,2,NULL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Cacho Castaña, Ricardo Darín, Carlos del Burgo, Arturo Maly, Mónica Gonzaga","G: Gius, Adolfo Aristarain
F: Horacio Maira 
E: Carlos Julio Piaggio
DA: Kathy Saavedra 
S: Norberto Castronuovo
M: José Carli 
P: Héctor Olivera, Fernando Ayala, Mario Kaminsky, Norberto Kaminsky
CP: Aries, Microfon 
",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=.bafici20130231,la_playa_del_amor_1.jpg,NULL,NULL,NULL,NULL,NULL,12/03/2013 15:02,27/03/2013 15:38,0,0,0,0,,NULL,0,0,0,0
4,90,NULL,NULL,La discoteca del amor,,The Disco of Love,,13,0,0,0,1980,NULL,"(…) Con el mismo ritmo, con la misma capacidad desenvuelta para la aventura, con los toques “negros” que manejara en La parte del león, La discoteca del amor es una fiesta ineludible que “Cachorro” habría saludado con toda la pasión y el éxtasis que un cinéfilo puede poner. Aquí también hay dos grupos rivales: el de los piratas de cassettes y el formado por un veterano detective privado, un aprendiz ayudante de éste, una pareja de disc-jockeys (la radio se llama El Dorado), una “rubia tonta” y su tío protector. El “asunto” es lo de menos, lo importante, como se sabe, es “cómo está hecho”. Aristarain ha recurrido a una situación parecida a la de los primeros films de Richard Quine de principios de los años cincuenta, con actores en estudios de radio y canciones, pero convirtiéndola en un homenaje a la Warner de los años cuarenta, James Cagney incluido. (…) La entrada de todo el clan en la pista de patinaje, con el acompañamiento musical de rigor, una de las escenas más impresionantes de la historia del cine argentino, nos está alertando sobre quién es hoy nuestro mayor cineasta en actividad. “Llamen a Thomas Gómez”. “Llamen a Adolfo Aristarain”. Rodrigo Tarruella (“No dejes de empujar Adolfo (Llamen a Thomas Gómez)” en El Amigo Americano Nº 1, 1980)","(…) Featuring the same rhythm, the same relaxed capacity for adventure, and the noir touches he used in The Lion’s Share, The Disco of Love is an unavoidable party “Cachorro” would have hailed to with all the passion and ecstasy a cinephile could express. Here, there are also two sets of rivals: the cassette pirates and the one formed by a veteran private detective, his apprentice, a disc-jockey couple (the station is called El Dorado), a dumb blonde, and her protective uncle. The “issue” doesn’t matter here, and the important thing, as we all know, is “how it was made”. Aristarain has drawn from a situation similar to the first films by Richard Quine in the early Fifties, with actors in radio studios and songs, but turning it into a tribute to 1940s Warner –James Cagney included. (…) The whole clan’s entrance into the skating track, with the proper music score, is one of the most impressive scenes in Argentine film history, and it warns us about who is today our biggest working filmmaker. “Call Thomas Gómez”. “Call Adolfo Aristarain”. RT (“Don’t stop pushing, Adolfo (Call Thomas Gómez)” in El Amigo Americano #1, 1980)",NULL,90,NULL,1,2,NULL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Cacho Castaña, Ricardo Darín, Carlos del Burgo, Arturo Maly, Tincho Zabala","G: Adolfo Aristarain     
F: Horacio Maira
E: Carlos Julio Piaggio, Eduardo López
DA: Kathy Saavedra
S: Daniel Castronuovo
M: Emilio Kauderer
P: Héctor Olivera, Fernando Ayala, Mario Kaminsky, Norberto Kaminsky
CP: Aries, Microfon
",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=.bafici20130214,la_discoteca_del_amor_1.jpg,NULL,NULL,NULL,NULL,NULL,12/03/2013 15:05,27/03/2013 15:34,0,0,0,0,,NULL,0,0,0,0
5,90,NULL,NULL,Tiempo de revancha,,Revenge Time,,13,0,0,0,1981,NULL,"Como decíamos a propósito de La playa del amor, el cine de Aristarain se erige como un poema de la frustración, ya que sus protagonistas están signados por ella. Aunque por momentos parezca lo contrario, Tiempo de revancha no escapa a esta constante. Pedro Bengoa (Luppi) es un dinamitero con un pasado sindical y político, mamado desde chico al lado de su padre. Necesita dinero y acepta un puesto en el sur renegando de su anterior actividad, lo que le vale un insulto por parte de su progenitor. (…) Ve la posibilidad de salir de pobre fraguando un accidente que lo dejará “mudo” y poder así cobrar una suculenta indemnización. El resto es la actuación de Bengoa frente a la gente de la empresa, médicos, psiquiatras, mujer, y todo aquel que se le ponga adelante. (…) En una cinematografía que no maneja con idoneidad ningún género, Adolfo Aristarain se da el lujo de dividir su film en tres partes claramente diferenciadas, sin que por ello la obra pierda unidad. Comienza como algo político, sigue en un cierto tono de comedia para culminar brillantemente como un thriller. (…) Es la obra de un hombre para quien el cine ya no tiene secretos y que se dedica a hacer, como dijera un colega suyo (Ricardo Wulicher), “cine puro”. Roberto Pagés (“Otra vez la frustración como eje de un gran film” en Convicción, 31/7/1981)
","Like we used to say when talking about The Beach of Love, Aristarain’s cinema stands as a poem of frustration, since his main characters are marked by it. Even if sometimes it seems the opposite, Revenge Time falls into this constant. Pedro Bengoa (Luppi) is a dynamite expert with a history of union and political affiliation he got from his father since he was a kid. He needs money, so he takes a job in the South denying his former activities, which causes his father to insult him. (…) He sees the opportunity of stepping up from poverty by forging an accident that will render him “mute”, so he can collect a large compensation pay. The rest is Bengoa’s performance when faced with the company’s people, doctors, psychiatrists, his wife, and everyone he meets on the way. (…) In the context of a national cinema that is not used to suitably handling genres, Adolfo Aristarain can afford to divide his film in three clearly differentiated parts without losing its unity. It starts as a political thing, then continues with a kind of comedy tone and ends up, brilliantly, as a thriller. (…) It is the work of a man for whom cinema no longer holds any secrets, and who makes, as his colleague Ricardo Wulicher once said, “pure cinema”. RP (“Once again frustration is the axis of a great film” in Convicción, 7/31/1981)
",NULL,112,NULL,1,2,NULL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Federico Luppi, Julio de Grazia, Ulises Dumont, Haydée Padilla, Arturo Maly","G: Adolfo Aristarain     
F: Horacio Maira
E: Eduardo López
DA: Abel Facello
S: Daniel Castronuovo
M: Emilio Kauderer
P: Héctor Olivera, Luis Osvaldo Repetto
CP: Aries
",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=.bafici20130429,tiempo_de_revancha_1.jpg,NULL,NULL,NULL,NULL,NULL,12/03/2013 15:07,27/03/2013 16:42,0,0,0,0,,NULL,0,0,0,0
6,90,NULL,NULL,Los últimos días de la víctima,,Last Days of the Victim,,13,0,0,0,1982,NULL,"(…) Mendizábal, el protagonista, es un asesino a sueldo cuya eficacia ha dependido de la limpieza y prontitud de sus trabajos. Una y otra vez la víctima ha sido el objeto que debe descartarse, sin necesidad de indagar por qué. Un día ocurrirá lo contrario: el imperativo de la investigación, el conocimiento del individuo y su entorno, de su guarida y sus mujeres. Desde que el hombre se complica en un juego de ajedrez se está viendo el rescoldo de humanidad no perdida, los márgenes de sus dudas, un trasfondo psicológico donde no faltan represiones. (…) El film está concebido como una marcha regular e inexorable de ese hombre que disimula sus insatisfacciones. Las características del personaje establecen diferencias de Últimos días de la víctima con sus predecesoras en una ya nítida trilogía. (…) Queda el contorno de amoralidad, la jungla del exitismo, otra vez como el retrato de una época y una sociedad para quienes sepan verlo o descubrirlo. En general, los seres que transitan por la película apenas sienten o viven, cumplen con la supervivencia a cualquier costo. Cuando así no es, ya no serán. (…) Jorge Miguel Couselo (“El cine negro, en clave argentina” en Clarín, 9/4/1982)","(…) Mendizábal, the main character, is a hitman whose efficiency has always been based on the cleanness and swiftness of his work. Once and again, the victim has been an object that needs to be discarded, with no need to ask why. One day, the opposite thing will happen: the obligation of investigating, of knowing the target and his environment, hideout, and women. Ever since we see the man in trouble at a chess game, we can see his lingering humanity, the margins of his doubts, a psychological background that lacks no repressions. (…) The film is conceived as a regular and inexorable march by this man who conceals his dissatisfactions. The character’s features set differences between Last Days of the Victim and its predecessors in a now clear trilogy. (…) What remains are the borders of amorality and the jungle of pursuing success, again, as the portrait of a time and a society, for those who are able to notice or discover it. All in all, the people that move through the film barely live or feel at all, surviving at any cost. When they don’t, they can be no more. (...) JMC (“Film noir, Argentine-style” in Clarín, 4/9/1982)",NULL,90,NULL,1,2,NULL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Federico Luppi, Ulises Dumont, Arturo Maly, Julio de Grazia, Soledad Silveyra","G: Adolfo Aristarain, José Pablo Feinmann
F: Horacio Maira
E: Eduardo López
DA: Abel Facello
S: Daniel Castronuovo
M: Emilio Kauderer
P: Héctor Olivera, Luis Osvaldo Repetto
CP: Aries
",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,los_ultimos_dias_de_la_victima_1.jpg,NULL,NULL,NULL,NULL,NULL,12/03/2013 15:09,25/03/2013 20:14,0,0,0,0,,NULL,0,0,0,0
7,90,NULL,NULL,Un lugar en el mundo,,A Place in the World,,13,0,0,0,1991,NULL,"(...) Como se sabe, diez años distancian a Tiempo de revancha, película cumbre del autor, de este Un lugar en el mundo. Ambas obras tienen elementos comunes, empezando por el personaje que vuelve, con otra actitud pero con la misma entereza, a una lucha en la que, si no quiere darse por vencido, paradójicamente debe perder: su triunfo estará en ser consecuente consigo mismo. Como remarcando similitudes, los papeles de protagonista y antagonista son encarnados por los mismos actores de hace diez años. Pero a diferencia de Tiempo de revancha, que estaba llena de tensión y frases cortantes, Un lugar en el mundo tiene un ritmo aplacado, evocativo y más espacios de conversación. También tiene una mayor captación de la ambigüedad humana. (...) Con sus personajes, Aristarain refleja involuntaria y tangencialmente su propia evolución geográfica y mental, y habla a los sentimientos con emotividad limpia y buen rigor expositivo. La relación del niño con los padres, o con una niña de la que está enamorado e intenta enseñarle a leer; la alusión a tantos sueños del futuro mejor, y a tanto empeño real por mantener un presente menos peor, nos llegan con ejemplar pureza, destacable pudor. Paraná Sendrós (“Aristarain volvió con una película mayúscula” en Ámbito Financiero, 9/4/1992)","(…) As it is well known, ten years set apart Revenge Time, the height of the author’s work, from A Place in the World. The films have elements in common, starting with a character who returns, with a different attitude but the same integrity, to a fight in which he paradoxically must lose if he doesn’t want to cave: his triumph will depend on being consistent with himself. As if trying to underline the similarities, the main character and his antagonist are played by the same actors from ten years ago. But, unlike Revenge Time, which was filled with tension and sharp dialogue, A Place in the World runs on a more paced and evocative rhythm, with more room for conversation. Also, it captures human ambiguity better. (…) With its characters, Aristarain involuntarily and tangentially reflects his own geographic and mental evolution, and speaks to our feelings with a clean emotional tone and a good narrative rigor. The relationship of the kid with his parents or the girl he’s in love with and to whom he teaches how to read; the mentioning of so many dreams of a better future; and all that effort put into maintaining a present that is less worse, are all delivered to us with exemplary purity and remarkable modesty. PS (“Aristarain came back with a capital film” in Ámbito Financiero, 4/9/1992)",NULL,120,NULL,1,2,NULL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Federico Luppi, José Sacristán, Cecilia Roth, Leonor Benedetto, Rodolfo Ranni","G: Adolfo Aristarain, Kathy Saavedra
F: Ricardo de Angelis
E: Eduardo López
DA: Abel Facello
S: José Luis Díaz
M: Emilio Kauderer
P: Adolfo Aristarain, Osvaldo Papaleo
",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=.bafici20130439,un_lugar_en_el_mundo_1.jpg,NULL,NULL,NULL,NULL,NULL,12/03/2013 15:11,27/03/2013 16:44,0,0,0,0,,NULL,0,0,0,0
8,90,NULL,NULL,La ley de la frontera,,Border Law,,13,73,0,0,117,NULL,"(...) Una y otra vez, Aristarain ha repetido que para él no existe una película por encargo, en la medida en que se la pueda hacer propia. Eso es precisamente lo que ha conseguido con La ley de la frontera, un proyecto que le fue ofrecido de buenas a primeras, sobre un guion del autor gallego Miguel Murado, que Aristarain pudo reescribir y dirigir a su medida. La acción –y el término aquí es bien apropiado– tiene lugar en 1924, en la frontera entre Galicia y Portugal, una tierra bella y virgen, donde la ley y el orden todavía no han logrado imponerse, como en los westerns. En esas comarcas se encuentran Joao y Xan; uno es un vivillo portugués de buena familia, deseoso de vivir aventuras, que huye del seminario al que había sido confinado por sus padres; otro es un pobre gallego harto de picar piedras en las canteras, que se alista como legionario sólo para volver a escapar, con rumbo incierto. Ambos son fugitivos, uno del convento, otro de la milicia. En el camino tropiezan con una periodista, empeñada en conocer al más legendario bandido de la región, un ácrata apodado “El argentino” y que no es otro que Federico Luppi, el actor que desde Tiempo de revancha viene funcionando como una suerte de álter ego del propio Aristarain. Luciano Monteagudo (“Un romántico anarquismo” en Página/12, 24/8/1995)","(…) Aristarain has said over and over that for him there is no such thing as a commissioned film, because one can always appropriate it. That’s precisely what he accomplished with Border Law, a project that was offered to him out of the blue, with a script by Galician author Miguel Murado which Aristarain was allowed to rewrite and direct freely. The action –and the term here is appropriate– takes place in 1924, in the border between Galicia and Portugal, a beautiful and virgin land where law and order still haven’t managed to settle in, just like in a western. And then there’s Joao and Xan: one is a Portuguese scoundrel from a good family who is eager to have adventures; the other one is a poor Galician who is tired of smashing rocks at the quarries and enlists as a legionnaire only to escape again with no destination. They’re both fugitives, one from the convent and one from the military. On their way, they come across a female journalist who is determined to meet the most legendary bandit in the region, an anarchist known as The Argentine, played by none other than Federico Luppi, the actor who has been functioning as a sort of alter ego of Aristarain since Revenge Time. LM (“A romantic anarchism” in Página/12, 8/24/1995)",NULL,117,NULL,1,2,NULL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Pere Ponce, Achero Mañas, Aitana Sánchez Gijón, Federico Luppi, Fernando Valverde","D, G: Adolfo Aristarain     
F: Porfirio Enríquez
E: Juan Aledo
DA: Abel Facello
M: Luis Mendo, Bernardo Fúster
CP: C.P.A., Shazam
",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=.bafici20130219,la_ley_de_la_frontera_1.jpg,NULL,NULL,NULL,NULL,NULL,12/03/2013 15:12,27/03/2013 15:35,0,0,0,0,,NULL,0,0,0,0
9,90,NULL,NULL,Martín (Hache),,,,13,73,0,0,1997,NULL,"Martín (Hache) duele en todo el cuerpo. Produce desasosiego. Nos abandona con un gran vacío interior. Y si el aspecto sombrío que la impregna no estuviera sostenido en un espléndido y riguroso lenguaje, en una lógica cargada de coherencia, el espectador no encontraría soporte y alivio. Es una historia de estos días. El director Aristarain ha reiterado que el tema nace del temor de un padre porque su hijo adolescente deje la casa y se tope contra el mundo. (...) Martín (padre) es un director argentino de cine con éxito en Madrid. Tiene un gran amigo, Dante, un madrileño drogadicto, homosexual confeso y bisexual de a ratos. Y cuenta con una novia maravillosa, Alicia, toda sinceridad, también adicta a la droga, pero desesperada por el desamor, la soledad y un irreconciliable desapego por la vida. En Buenos Aires, el hijo de Martín, Martín (Hache o hijo), llamado simplemente Hache, de diecinueve años, sin trabajo ni “horizontes”, viaja a encontrarse con su padre, tras la crisis de una sobredosis, voluntaria o no. Lo que sigue es el proceso de reconocimiento del padre y el hijo y la inmensa frustración en que acaba todo. (...) Claudio España (“Nobleza y rabia de la mano de Aristarain” en La Nación, 17/4/1997)","Martín (Hache) hurts all over your body. It makes you unease. It leaves you with a huge inner void. And if the somber look that impregnates it wasn’t sustained on a splendid and rigorous language in a very coherent logic, the spectator would not be able to find support and relief. It is a story of these times. Director Aristarain has said many times that the theme comes from a father’s fear of his teenage son leaving home and facing the world.(…) Martín (the father) is an Argentine filmmaker who succeeded in Spain. He has a great friend, Dante, a drug-addicted, openly homosexual and often bisexual guy from Madrid. He also has a wonderful girlfriend, Alicia, who is pure honesty and also addicted to drugs, but desperate due to unrequited love, loneliness, and an irreconcilable detachment from life. In Buenos Aires, Martín’s 19 year-old son Martín (Hache or junior) has no job or “prospects”, and he travels to join his father after a rather voluntary overdose crisis. What follows then is the father and son’s process of recognition and the immense frustration that remains in the end. (…) CE (“Nobleness and rage through Aristarain’s hand” in La Nación, 4/17/1997)",NULL,130,NULL,1,2,NULL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Federico Luppi, Eusebio Poncela, Juan Diego Botto, Cecilia Roth, Sancho Gracia","D, P: Adolfo Aristarain     
G: Adolfo Aristarain, Kathy Saavedra
F: Porfirio Enríquez
E: Fernando Pardo
DA: Abel Facello
M: Fito Páez
CP: Tornasol Films
",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=.bafici20130276,513f468178e10_1.jpg,NULL,NULL,NULL,NULL,NULL,12/03/2013 15:13,27/03/2013 15:48,0,0,0,0,,NULL,0,0,0,0
10,90,NULL,NULL,Lugares comunes,,Common Places,,13,73,0,0,2002,NULL,"(...) Este décimo largometraje de Aristarain es una desgarradora, impiadosa y desilusionada descripción del estado de las cosas en la Argentina, de la imparable decadencia económica y del éxodo masivo y, al mismo tiempo, una intensa, sentida y entrañable historia de amor a la que el director le imprime indudables rasgos autobiográficos. (...) El director de Últimos días de la víctima, Tiempo de revancha y Martín (Hache) se centra en la odisea personal de Fernando Robles (Federico Luppi), un sexagenario profesor de literatura huraño, contestatario y principista que –entre  las desavenencias con el rector y los recortes presupuestarios– recibe una noticia de efectos devastadores: la jubilación anticipada. Casado con Liliana (Mercedes Sampietro), una encantadora mujer catalana que trabaja como asistente social en barrios marginales; y con su hijo y sus nietos radicados en España, Fernando se enfrenta al peor de los mundos posibles: pasa a integrar el ejército de argentinos descartados y descartables, sin presente ni futuro. (...) Diego Batlle (“Con la marca de Aristarain”, en La Nación, 12/9/2002)","(…) Aristarain’s tenth film is a heartbreaking, merciless and disillusioned depiction of the state of things in Argentina, with its unstoppable economic decadence and massive exodus; and at the same time, it’s an intense, heartfelt, and moving love story to which the director imprints elements that are undeniably autobiographical. (…) The director of Last Days of the Victim, Revenge Time, and Martín (Hache) focuses on the personal odyssey of Fernando Robles (Federico Luppi), an surly, opinionated, and righteous literature professor in his sixties who –due to budget cuts and him being in bad terms with the dean– receives some devastating news: early retirement. Married to Liliana (Mercedes Sampietro) –a lovely Catalonian woman who does social work in the slums– and with his son and grandsons living in Spain, Fernando faces the worse possible scenario: joining the army of discarded, disposable Argentines with no present or future. (...) DB (“With Aristarain’s trademark”, in La Nación, 9/12/2002)",NULL,110,NULL,1,2,NULL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Federico Luppi, Mercedes Sampietro, Arturo Puig","G: Adolfo Aristarain, Kathy Saavedra
F: Porfirio Enríquez
E: Fernando Pardo
DA: Abel Facello
P: Adolfo Aristarain, Gerardo Herrero
CP: Tornasol Films
",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=.bafici20130259,lugares_comunes_1.jpg,NULL,NULL,NULL,NULL,NULL,12/03/2013 15:20,27/03/2013 15:44,0,0,0,0,,NULL,0,0,0,0
